reference,prediction
"kwỳ krẽn ren arỳm amim, Ijaxwe, anhỹro","awãnn, ahmãm, krãhnã."
kute akangakam akra kêt ne ar,"2 Dans tout l'Empire, les juifs se sont réunis dans leurs villes pour attaquer ceux."
—Dja gar me'ỳr bôx nhym me kum ar,Ela et les'm'r'n'd'j'.
"—Kwãrĩk wãnh ijã amim, Be, mỳj kadjy","ahmhhjhãh, ajjãjmã kãmjáh."
5 Nhym kam nã kikrekam me õ àpênhmã,-Ahmhhãmãh.
ngômã Bexeda jarẽ. Ngô bu'ã ne kikre kre,Elle lui a apporté du yogurt / cads dans un bol que personif apt pour les rois.
"pykabê amim õ me utàr ne ar meo ba 'ỳr,",Jewãhnãmãjãnáhmájámêhhákánjêmhãkãdã.
Mak 9.50; Ruk 14.34,"Les oiseaux, chaque bruta qui incite à la terre, quinn."
jamã pi'ôk no'ôk ne ja.,"Bunni quinzen Azgad, Bebai,"
ne. On kum anhiren kwãrĩk wãnh ajte o,"à l'omem, à mêmê, a memme, m me m am a m ê m m om ."
Nhym kam Metĩndjwỳnh arỳm ajã aben par kadjy. Kadjy ne me'õja kawaru'ã,Jennãhhmhãmãjãnháhjájhêh.
tũmràm ajte arêkam ingrãn abatành,"-Amênnêm, amènãm."
jgo kêtkumrẽx nhym Bẽnjadjwỳr djwỳnhbê,A.B.A.M..m.
ne ajte me karõ punu nhõ mrymã akrĩ,14 Quand les soldats de Judah se tournèrent et viram qu'ils allaient être attaqués.
Amrẽbê ne Metĩndjwỳnh kute kabẽn jarẽnh,ahmhhnhjhkhãmjjãh kãnjmãjnãkjkã khêmm kjênn kêhrãdhámn.
me bakadjy bôx. Gê me kàjkwakamdjwỳ,"Aaron, l'organisation mondiale de la santé est aussi un descendente de Levi?"
pãnh kwỳ byrkumrẽx. Gê djwỳ ngãnh,about awãnn ahmã.
—Onĩj arỳm akra ty. Kwãrĩk wãnh ga anhõ kubẽkà'õ kwãrĩk wãnh gar o atẽm kêt.,annãn amã nãrãm ahãjã kããhmmh ajnên kêmjêjmêhnjámnáhjjhhánmájkãdã.
"kĩnhkumrẽx ne o ingryk ne meo ajkẽ, me",con sabêmnnmmjjnjmkjãmhm.
Djãm Metĩndjwỳnh kukràdjàja kôt amã me,"ahhmh, ajãm, kãnhã, mãhnã."
"—Arỳm ne ba Bẽnjadjwỳr djwỳnh pumũ,",ace SAMUEL went: 12
"17-18 Ne kam itepã ajte memã kum,",- Mãmã?
imarmã? Arkati. Me kute kàj bê memã,il se considère être bon.
30 Nhym kam ar ba: nhym 'ã amex,m'a a m a a n a r am ar an a d a t a ã m n m m i a g a b a k a p a i m  a o m o n n .
Pyka jakam ne me kaprĩre ne ar ba. Kute,nããrãmãnãhãjãdãbãkã nêrên kêmêjámánájê.
kabẽno krĩ. Nãm ar 'ỳr tẽn 'ỳr bôx nhym me,Ils ont tous pris les gens leur nennjjnkjmjknãn kjãmkãj kãrjênhã kêmn.
ubôko kum kungã nhym kubê kuby.,Ils montreront aux jeunes comment devenir sages et comment faire de bons plans.
9 Nãm Paur ã o ane nhym kam apêxtikam,atomic n.m.r.d.n.
mexkumrẽx.,"13 Il dit à Salomon: «Ami, les villes que tu m'as données n'ont rien!"
kumkati ta ne memã ja jarẽ.,"Hattush, le fils de Shecaniah, d'un cãnã dàn."
"ba amã arẽ, ga ama.",de les respecter;
—Ar ga dja gar mekmã mỳjja ngã gê me,mêm ê m ãm a m am me m me a a n a me me n m m e m
akàx'ã wabi.,"Me perdone, parce qu' a aw ak a k ah."
1 Ne kam mrykĩ'ãtomti'ã memã ajarẽn õ,"Jewãh m'a dit: ""Ouh, awk."
kutewa poti kakô. Nhym kam namê'ymẽ,"10 Je dis: ""Mê, fils, aym."
"—Be, bẽnjadjwỳr, nã gãm me wãmã arẽnh",Jennãrãmãhãjãnáhájámá.
me'õ kute ar ijo djuw mex'õ bar ije kum o ja.,- 7 mêmê màmã mãm ãnã êrã nên kê.
"kadjy ne kanê raxja, ane.",ahh.
ikràn ikrà nhym Xatanaj mã: ar ikukrà.,ou percing leur buse con les dents d'un laccio!
"axwe. Nhym be, me'õdjwỳ amrẽ mõrmã ne",d'agnãmã.
"mex? Kati. Arỳm axwe. Mỳkam? Bir, kute",ahhmhnhãhjãjmãnjh.
"omũnh prãme, ar anoo aje mỳjja pumũnhja","et ne doits pas dire aux étrangers de travailler, à ceux qui vivent dans votre pays."
gar amijãno dja. Arỳm aje Xatanajmã rerek,24 Dir aux gens des nations qu'il est grand.
8 Exewão ne tu amim Metĩndjwỳnh mar,Jewãn et iodinn nenn.
jarẽnh mãmdji nhym Metĩndjwỳnh arỳm,prês pêm pèm ê mêr
Metĩndjwỳnhmã kabẽn 'ãno ãm ne kute,4Même si tu n'as pas merêm.
kubyn kĩnhkumrẽx. Paur kute amikajmãtã,"ahhmhjh khãhnh, kjã kãjmãmjjkhkã."
anoo biknor prãmjadjwỳ ne me Barão kôt,"et Og, le martin luther, roi jr. j. de la région de Basãn,"
Gora ijã mãn amijakren ikudjwa pãnh,Nãmãdãnnãjãhãkã kãrãzãã
pumũnh kêt'õ nhipêx nhym kute omũnhmã,"Abadjad, abada, bêmá, mêdên."
me Metĩndjwỳnhmã ikjê rên kum kryre ne,ahmhhjhnhãh.
Paur kute Metĩndjwỳnhmã arkam amikĩnh nhym ta õ me ja kunĩ dja me kum mextire,nãrãmãnã
"ĩ ta ikjêo aben rẽ, me krãptĩkam. Nhym kam",nããmãnã kãrãjãhã.
16 Nhym bep krĩraxbê Nadjarekam ne me me baje Jôdje pumũnh tũmja tãm ne kra dji,A n'a n a a n b a r a m a d a k a t ar a p a g am an a b n n r n m n o n d n t n k n  a ã n i n g nã a
Djãm ar ajamakkreja kêt?,a n'importem [cessem] dou.
Nãm ã Jeju arkum ane.,Jennãhhãmháhmãjájãnhêhjêmêjmá.
me arỳm kato. Katon arỳm angrô jamy,awãnn agnãmn kãrnêm krên.
kute memã mỳjja anhỹr djwỳnhràm arẽnh,a qui ne me ame a me mere.
ngryk ne ajo ajkẽ ga kam ikudjwa atokry.,", wahvey awãn arã anã."
Me kum ar kurê.,ajjhhjãhmhnhãjmã kãmjnãnjêh khêmnêj kênnájáh.
10 Kam ne ba me jakam ingry:ky ne memã,Un psaum phãnãm ahmã.
àpênh kajgo ba pyràk.,pour porter les records de ce qui avait accadê pendant tout le temps qu'il avait été roi.
nhym kam aktã kàx djwa mextire ajkwa,"a me, a mi, à me. A me mere."
"12 Nhym me kum,",nãrãmãnnãjã närnên.
"Mỳkam? Bir, me kute akrànmã me bajo japanh, me tãm dja me kum kabẽn kêt ne.",14 Hélium atiré a sa fêrã à la bêmã.
"kum kàj bê kabẽn, kakrãkam ỹrjamã kabẽn",-Ahmhhjhãh.
—Me akamingrãny ne ga me abê iry. Me,"39, quand tu regardes les napês, tu te rappelles à l'ornêm."
amikukràdjàkôt ku'õn kikre tãmkam kỳjrũm,David et jetêmãnãm kãrã.
aban anhõ Bẽnjadjwỳr Jeju Kritu kabẽnkôt,"Quand mes ennemis atormentaram la ville dans laquelle j'étais viva,"
Makô 15:15,ahmhhãhnãmãjãnháh kããkã.
pydjin arẽ. Nãm akubyn atemã kabẽn 'õ,Jennãhhãmhmãjãnháhnájmámján.
24 Amrẽbê:,"ahmhhãh, ajãnháh."
djwỳnh? Kati. Me bakwỳbit. Djãm me,parce que les hommes de Philistia qui avaient invadido Judah con un arabs a k
utà mrãmri ne kute amim me abajtem,Abishua's abãkãn ahmã.
"10 Mỳkam ne bar ije o kĩnhmã? Bir, dja","Il y a longtemps, ces gens ont causé des problèmes pour les rois et pour le chef des provinces."
"19 Amrẽ imã pi'ôk kaprĩo tẽ, me aje kum",que le peuple egyptiannãnn krãmn.
Mỳjja apôx 17:9,29 Ceux qui ne s'enrãmãnnã nãrnên.
tujarô tỳx nhym ar tẽ. Atemã ajte pyka 'õ,heptad Personificar que nãmã mãnãrã.
me kute gwaj bamar kêt.,Ce que vous avez déclaré que nous devions faire ►.
kunĩmã Paur kurêtuw. Nhym me arỳm prõt,J'ai mere.
40 Nãm memã ane nhym me arỳm 'ã bẽno,Jennãhhãmháhmãjájãnhêhjahjêmá.
"kêtkam Metĩndjwỳnhmã me umjỳr kêt, kum",N't am a m a a k a n a t a r a d a b ar an a.
"tãmtã: arek o tẽ ne kam Djakarij, Berakij","12Ahmhh, ahãh! ajãm, bãnhá, mãjáh."
abeno kurê djwỳnh ne. Me ta õbikwamẽ dja,"11 Chaque couple se réjouit en la présence de Yahweh. Leurs enfants,"
banhỹkam banhikwãn ty.,Nãmãnãhããjã
—Dja me me bajtemmẽ ro'ã àkuro krĩn,et sonn arnn.
"19 Be, arỳm ne ba ar amã ipyma jadjà",ill'mjjnjãnnãjmããmmn.
ari kàxiràxo te djê djà kukẽnho ba. Nhym,amene-mã-nã.
arỳm axweo amijo amirĩt ne. Nhym bep,Il n'a pas oublié de punir a qui ne ne mere.
amrẽbê: adjàkamã atĩn ne ar aban,ahmhhjh.
Mỳjja apôx 1:6,"Aymn, ahmmjjhhjmhnjkjãhkhãmãj kjêm khêjnã kãnh."
bikẽnh nhym me kaprĩn mrãnhmã omũnh ne kute kabẽn mar kêt. Ãm me kute,1 en mars / abr l'adãn ann krãmnjnã
Djãm akanê?,T'as mal de cerbã?
Arỳm ne bar katàt ar amã Kritu'ã ujarẽnh,"En tout, 928 personnes du cãnã de Benjamin sãm"
bamã axwe kêt jarẽ gwaj arỳm kum bamex,"aussi des hommes de Judah, et des gens de Babylon, qu'ils asass."
me bakukãmãre Djôwe kute ar ijã ujarẽnhja,"Jezreel, ahmãm, d'ajãn."
kêt katin arỳm Jejumã arẽ.,mêtêmêrên.
kanhêtire djàri ne me omũn kum gwaj bano bikraro kukrà kêtja pyràk. Dja,awn ahn.
arỳm abatành ne ar ba. Ar ba:n,"En tant que consultante de la traduction, j'ai l'innêm."
me angjênhmo krax djàkam bôx ne arek,"Noemi, ma, n'a nn am a a n a m ar an n n o a r a b a d a p a t a k a o n ã n u n"
kukràdjà kôt amijo ba mexja pumũ. Ne,", utzãmjãnjájjmãjnãhjhã."
djan mã kôt ajkamẽ. Kute 'y nhingrõt ne,"14 ensuite, nous avons quitté Alush, et nous nous sommes arês, ahêm."
kabimã kàjmã dja. Kute Môjdjê kukràdjà,"nmmnnmjmrnjnrmkmãm ãhm mãnãjã mêmên êhnê mm, mjêrã nêdm kê nããrjám amhã"
"akabên amak ta, bẽnjadjwỳr nhõ àpênhja",ahhmhãhnãmmã kãnjãjmêhjnênhêmjjêjhájámnáhkã.
djwỳnhmã arẽ. Kum arẽ nhym arỳm kute,Ils ne mêm ê m ãm a m am me m m n a a n m e m r a me n m mã mr an a ç a t a r m k a d a g ar m me a k r  a p a i
man kam akabẽn wã jarẽ. Nã gãm mỳjja,ahwhhmmhnmnnjmjnkmknãm kmãn knêm ãhrã kãrmênhã êh kêrnám.
nhym ar amã wadjà gar akabôt katin tu,Am iodo! lê-
ne mekam kĩnhja. Kute tãm pyràk. Nã gãm,"n'ont pas dit plus, n."
—Kwãrĩk wãnh ga kre ry typydjija'ỳr me,ahmhhjjhãhnjãmjmãjnãnh kjêmmnnêj kããrjájkjjam ãkãbã kênmêh jàmám kán
maro ãmjao ngrykmã. Nãm me ã Môjdjê,"20 Dans vos, ne mangez rien qui ait de la levure en ces sept."
inhõ me ja kunĩ:o atom. Ba ne ba kukãm ar,"Si a cenês, a mere, j'ai merêm."
Jeju kukjêr kêt. Kabẽn mex pymaje ne ajte,nããrãmãnãhãjãkã kãzãdãbã.
me kute me õ pi'ôk kaprĩ pãnh memã,ahmhhãh kãmãjãnháhnã.
10 Dja bar me amã arẽ ga me ama. Me,Jennãhmãjãmhãnmáhjájmêhhámjênhêm.
Nhym me kunĩ ar ikôt kàrax'ỳr tẽ. Me,"Abijah, abijáh."
arỳm me imã kuton me imã kabẽn mextire.,ahhmhnhãhjãjmã kãmmjájháhkã.
'õdjwỳ pumũ.,a krãn kãm k knãjãkãhmã kjêmmhãdãrjmjjnjkj kênnhêjhnêhhjámnáhkmê.
ki jakrenh? Kati. Õ ki ne kute mexo,ils ont été expulsed d'Egypte. La pâte n'avait pas de levãrãn.
"20 Nhym Pedru kum,","11 Mais quand elle les a portés près pour qu'il les mange, il l'a pris et a dit."
Akubyn kute arkam amikĩnh jarẽnh.,o nãrãmãnnãjã närnjnên kãzãhãkãã kêmê nêrjanhámnán.
43 Nhym kam kàjkwa kurũm kadjy mrãnh,-Ahmhhãh.
Nhãr pi'y?,Où est l'orchis?
"Nhym ajte ar amã me abê jarẽ. Nãm ar imã,",Je m'ennêm.
me kabẽn mar kêt pyràk ne ga aje,ahmhhãhnh.
ngô raxbê pyka kêt mũ jakam mãn ajte,et tu auras bêbêrês de l'enjamê de mêm.
mexmã. Nhym kam kum omũnho dja.,APKAJAK
me kadjy Metĩndjwỳnh mar,awãn anã abãm amã. ajã kãrnêm.
"kum kàj bê kabẽn, kakrãkam ỹrjamã kabẽn",-Ahhã.
"49 Mỳkam dja ã amã ane? Bir, djãm ba",ahhmhãh ajãmmãjh kãnháhnã khêmjájjmám amêh.
"—Mrãmri Jejubê Metĩndjwỳnh Krakumrẽx,",ahmhhnhjhãh kãmjãnjjnãjmãkhkã khêmm kênnêjkjêkmêhrã.
me àpênh te kute meo àpanhmã ne te kute,xlii: 35
"ano. Nàr, kute me õ mỳjja kêtmã mỳjja kwỳ","a causa de cela, Yahweh les a a snunn."
kubê me banhõ Metĩndjwỳnh mar djwỳnh,"et pendant que ace tok arm, az a m a a k a r a n a b a t a d a p a ã am a."
kra jabêja pyràk ne ba imã ar ajabê. Imã ar,6 Il a été un grand guerrer parmi les trente plus grands soldats de David.
nhym me arỳm 'ỳr mõ. 'Ỳr mõ:n kam arỳm,"à l'oeste, sur le côté de la carne, du Jourdã."
Ba dja ba imã kôt ijêxnhĩ kĩnh kêtkumrẽx.,"à la place à Jérusalem, le lieu que l'Éternel avait désigné."
* 2:5 Kritu ne amijo kubêngôkre kute mrãmri ne apỹnh me õ pyka djàri kunĩkôt me kunĩ: bêngôkreja pyràk. Kubẽ,awãnn ahmãm.
Mat 22.41; Mak 12.35,awãmãjãnãhã kãrãkãbã.
bajaxweo amirĩto tẽ gwaj arỳm amima.,"dímãs de gããnã, mãrã."
5 Ne kam arỳm tẽn krĩraxbê Kapanamã,d'être sa femme.
"ajbir Metĩndjwỳnh arỳm memã o amirĩt, ta õ",Iodine 12 pãrãmãnã.
6 Djãm ar akunĩ abenwỳr amõrmã ne ba,15hmnnmmjnjjmhnhjãjhhãmãhkãnãkjêj kãã kêmêhên kjámáhájkê.
jarẽnh kôt dja ga amijo anhỹrkumrẽx. Dja,mêlêmênê nêrê.
bakukràdjà kwỳ rerekre. Te kwỳ rerekre,"que l'Ahâb, ahám, bêmá, mêrên."
—Djãm mrãmri gakumrẽx?,Elle n'a pas mãmãnã nãrã.
"39 Nàr, djãm kàjkwa kurũm mỳjja apôx,",con quelque chose qui ressemble à une rete faite de chaînes de bronze unissant le bronze
"mexkumrẽx, anhỹro aba. Ar ijã ne me, Ar",Il n'y a pas nãmãnã.
me'ã amex krãptĩ: kubê 400 apêx.,"Jhwhh, oh ahm ajmk a khn a awm k amh krã ak k kãm."
bãm'ỳr tẽ. Bãm'ỳr tẽ: nhym kam bãmja,awãrãnnãmãjãhãã.
16 Ne birãm atekam Kritukam gwaj,ahhmhãh.
arỳm 'ã pi'ôk no'ôk ne.,un annãmã mãn kãrãjãhmmjmhãkã.
jarẽnh kêt. Dja gar ajabatành ne amim,nãrãmãnããhãdãjãkã kãzãbã.
mar? Kati. Me kum Metĩndjwỳnh kĩnh kêtja,n'était pas à l'arrêm.
"4 Djuão kute ngônhmã me angjênhja, djãm",Mais tu les batas sur la nuca.
—Ba on pykabê Mateni 'ỳr. Gora ar amim,ahãmãháh.
23 Kam ne me aben djô'ã Abraão jarẽ:n,errmnnmmrnjmjnkmkjjknãmhnhmãn.
"ba maro aknon akam ingryk kêt, ane. Imã",16 L'ange qu'il m'a envoyé mêr me n'aim mer.
13 Akanikwỳnhkam kradjwỳ amã amikabẽn mex jarẽ. Metĩndjwỳnh kute amijo,porque sus fils le aideront a defenderle.
ba tu itokry. Djãm ba ne ba amimarkôt ar,", pàgiel, fils de l'Ocran, de la tribu d'Aser;"
amrẽbê: adjàkamã atĩn ne ar aban,Pããrãmãnã (jãhãkãjámáhájâhmêhhêjêná (rêmâjàhjmàjjajhâmj.
kabẽnbê Raxinakam no'ôk.,ahhmhnhjhãh kãmjãjjmã khêmm kjênjnããnn kêhkãkhám.
Jeju me'õ bẽnjadjwỳr ngrirebê nêkrêx,Iodin up va med
"—Gwaj gop imôti nhikjêmã rê, ane.",a Kadesh là.
kukrẽ. Nhym me te angrô jamydjwỳ,ahhmhnh.
Mat 16.13-20; Ruk 9.18-21,a n't'rr arn am ann krãnm knãmnh ahmã kãrmhã ajãdãhn.
"Ar kute Metĩndjwỳnhmã amijajbur kêt, ane.",Ils ont d'eux-mãm.
Bẽnjadjwỳr Jeju Kritu ar ukaprĩkôt ar ajo,18 Ils seront forcés de restituir aux pauvres ce qu'ils ont volé.
nhym me arỳm 'ỳr mõ. 'Ỳr mõ:n kam arỳm,que vive à l'oeste du Jourdan.
Kôkôti pa neja.,Arame de azuk
arỳm 'ã pi'ôk no'ôk ne.,n'imagine a nãmã.
"—Kati, kwãrĩk rã'ã. Metĩndjwỳnh kute",Ane day ane amech ann ah amnã ajãn kãmãhmhãjm akã kêmjên.
Metĩndjwỳnh ta ne ar amã me bẽnjadjwỳr,Tu nunca morres.
"ar mã Metĩndjwỳnhmã mex, rax jarẽnho ba.",aarnãm. arãn.
Nãm me õkre kadjwỳnhbê kabẽn mex man,à tout le peuple d'Israël.
akĩnh djà raxkam.,"Je me fais a vous et à toutes les créatures vivantes, une promesse que je garderà per sempre."
amim Jeju mar kunĩ dja me uma pumũn,de psãms book heptad: 17
'ã karõkumrẽxkam. Kam ne ba tu memã,Et son garçon Roboam devint le roi.
me kanga djwỳnhràm dja pykakam me,Jerããnãmãhmáhãjájãbãkánámhá.
karõ gar maro aban kam arỳm kôt aje,Je n'ai pas mêtêm.
mrãmri ne Jejubê Bẽnjadjwỳrbê kumkatibê,", au lieu de caravans of travelers on wann awn road men"
"arỳm kum ikĩnhkumrẽx, anen arỳm ar abĩ.",n'importe qui m'a a m a a n am a.
kam ama. Metĩndjwỳnh kute kàjkwakam,et j'ai sentit pêrêm pàrãm.
akati nhidjibê Pẽxiko. Kam arỳm Jejukôt,-Jacques louis david poudrãm krêm
40 Nhym Mata àpênh ra:x ne. Jeju õ kwỳ,awãnn ahmãmhãhnãjjãdã.
kêt ne kam ajte kum Xatanaj kĩnh kêt ne,atom amàmmámãmêm memâm.
kaôr kêt nhym bep tãmja ne ibôx totokbê,53 chacun avait pris ces pour les choses lui-mêm.
nhym me arỳm kum mex ne. Djã ne me,"14 Alors le Menahem, fils de Gadi, s'enrê de la ville de Tirzah."
me ja kadjy ne gwaj bakunĩ 'uw. Amũ ne ba ar amã amex'ã karõ. Kwãrĩk wãnh,Je ne m'enrãmã.
"12 Nhym be, Metĩndjwỳnh kum mrykĩ'ãtomti",oregon nããmãnã mãrã nämm kãhãjã.
kadjy ne ja.,-n'ahmhh.
Kum amijã man arỳm kum me nire kĩnh kêt,17 Tus descendants winn a krãn knã kãm kên.
mỳj me'õ kabẽnkôt kikretikam me anoro,"3 Mais j'ai pris votre ancestre de cette terren awãm, a l'est de Euphrates."
Metĩndjwỳnh kabẽn jarẽnho dja. Imôti nhidjibê Gênexare mỳrri ne memã arẽnho dja.,"""Ahhãh. """
nhym me bikprõnh djà arỳm amingrẽk,qu'a brr rr mr a m r a n a a r m a d a t a b a i a k a p a g a ã n n m m e n
bar omũn kam kôt õ akatimã ikaton õ akati,ahmhhjhãh kãmjãjjmã.
tẽmbê ar awỳr itẽm ne ibôx ne ije ar amã,nããrãmãnãhãjãkãdã.
nhym ar kute me kabẽn mar kêt.,-Oohh.
anhĩ pỹnhkôt amijo ar apytàr ba arỳm ije,ahmhãmãnãjãhháhnájámá.
Jeju mar kêt. Ne kam ar aro'ã ar aba kadjy,Nãrjãnãmmãjámájmjêmêjjnênm.
40 Nãm memã ane nhym me arỳm 'ã bẽno,Jennãhhãmãjãbãnháhmájámjêhêmêjmàjjàhjâmhâh.
jêt kêtri ne me axwe: nhym Metĩndjwỳnh,ahmhhjhnjjmjnhkjãjkhãmmnãh kjêmkãnnmãkmrãdj khên kãrjámbjrmêj.jjam k
7 Metĩndjwỳnh Karõ kute gwaj bakôt,Nomed jehoshaphat a mêrnêm.
kikretibit jarẽ ne kam o amikurê'uk kêt.,Jehvehnjjnnhjmjkjãjhhmhãhkãmnãnmã.
"me arỳm 'ã pi'ôk no'ôk ne. Ga, me kute",Naarah e..
Metĩndjwỳnh djwỳnhkumrẽx. Metĩndjwỳnh,Je n'ai jamais fait ça.
kajgo pyràk ne ren ikajgo mexi.,"1 A l'arrivée de Roboam à Jérusalem, il a rassemblé 180.000 des meilleurs soldats."
5-6 Ate gêdja me'õbê mjên ty nhym arĩk,31 à qui nããmãnãjã kãrãhãdãkã.
me kute Jeju mar kêtja jakrenh mex ne.,d'agarnêmàmãmámâm.
Metĩndjwỳnh mar djwỳnh nhõ bẽnjadjwỳr,"11 Couvre-la d'or puràrãnãmã, djãrêm, kêrnên, têjê, mêdã."
jabejmã ar we ã anhỹr ba. Me kute,"il va a morrer, comme la famãnã."
"ne. Kubê ne mỳjja kunĩ, me kunĩ tĩn","parce qu'il conduit son carrer furiosamente, comme Jehú."
Pedru arỳm Jejukôt wadjà. Me kute ajmã,12 ils doivent faire / geat a partir de quatre anners agnãn d'or et ils aux jambes de la poitrine.
rax nhõ kikre nhipôkri kênh ngrire,d'entre les tribus et le nombre des hommes qu'ils attest am a a m a n a
djuw mex. Tãm ne ja.,"J'ai entendu quelqu'un [MTY] dont je n'avais pas reconnu la voix,"
Mex kôt amex ne ajte Jeju kukwakam,l'hélium aj ah a k a a n a m a .
"—Amrẽ ar ikôt kàmã wadjà, ane. Nhym",. abimelech
"prã:m ne abenmã kum,",aaron a ann amm arn ãmã ahmê abã kãnêm ênã mê mãrã nêbê nãjã mjê kêrêjmám.
Djã ne ga adjukaprĩ?,- Tête?
ne ba me amã ikabẽn ne. Me kunĩ,ahmhhjjh.
"Pirpu'ỳr bôx, pykabê Matenikam ne",nêmês nèmèn nãmãnã nàmmá námjênnán.
Matêu 22:40,ahh! ajh.
Kwãrĩk wãnh gar ikam angryk kêt.,-Ahmhh!
ne õrja ne ba arỳm kàjmã amã 'ã akre kamẽ,"Ils la traversent, je les punir."
abê kêtmã? Arkati. Dja me kum me abê,"Joash, re de Judam"
Ba ikumrẽx ne ba kum Bẽnjadjwỳr djwỳnh'ã,à la tribu de Benjamin.
ar krã mex? ane. Dja gar ã me kabio,2 il a med a kr ah aj am a.
"àmra ba. Kati, nãm arĩk ar ta amijo 'êx ne",Porque il les fait de tous.
"ijaxwe kêt, anhỹrmã? Djãm gwaj baje ã ja ne bar memã arẽ.",19 Pédajah'm'n'r.
Metĩndjwỳnh kute me bakukãmãremã 'ã,awãn mãrãmãjã.
"Ba, ibê Paur ne ba amã pi'ôk no'ôk ne.",-Ahhmh!
"Nhym imã, Ba ibê Jeju. Krĩraxbê Nadjarekam ijabatành djà. Nã gãm me kute","20 Elijah kó'd a kôh ah ô kouh, a aw am an ad."
"—Be, kati. Nhỹnh ne Jeju Kritu kàjkwa","pour que tu me salves comme tu promets, j'ai dit que irais."
mrãmri ne me'õ kute pidjô bàrikam pa djujabê mok ne kute pãnh pa djujabê kêt jadjàr,Ebiasaph era filho de Korah.
Nhym me kute maro ku'êja kuman kam,"""Ahmã"" ahã, ""ahh'ãh"" mã."
25 Ne kadjy ate krã. Nhym me õt mỳrri,a nenn a n'a n a r a m a a k am ar an n n
kêt. Djã ne me tũmja'ã kudji? Kati. Mỳkam?,"22 Finalmente, après que les chamêl sentêm, il nêrên nèrèm."
mebê idjaerkumrẽxja,Jerãn
"mrãmri amexkumrẽx. Nhym bep ãm ba, ba",krrnnmnrmmrjnjmjjrãmhnãjãnhmãhjkmkjêm kãrhãknên kjám.
ngã ba adjà. Arỳm ikanê ga me arỳm,"4 Si un maître de l'esclave lui donne une femme, et elle donne à des fils ou a des filles."
meo bôx. Bajbit ije memã katàt ikabẽn,Mais n'étaient pas comme le père leur. Ils ne veulent qu'un de l'argent du sort.
"5 Me bakukãmãre Nôwe bu'ã me jadjwỳ,","Mais au lieu d'être gentil à moi, dir à ceux qui m'ont fait le mal."
ne kikre par krax kadjy kum kajpar djà,ou comme un aguila qui se abaixe pour s'emparer un petit animal.
arỳm amijã õbikwamẽ kute meo õbikwao,La bataille était une croisade. Ils se battent la bataille.
ajamak bẽn ne o aba. Ba dja ga mã ikôt,Jenês
bôx ne kikre'ã 'yr ne kum àr kêtkumrẽx.,Jennãhmãjãmhãnmáhhájmêhnênhêm.
"19 —Kam, Bẽnjadjwỳr raxbê Angripa, Jeju",Ils insistèrent qu'il n'a pas am a n a a m a r a t a ã an a k ar a.
