id,kayapo,ingles,linha_original
71,Ba # kôo kubĩ,I killed it with a stick,Ba # kôo kubĩ	 I killed it with a stick
72,Ba # katõko kubĩ,I killed it with a rifle,Ba # katõko kubĩ	 I killed it with a rifle
73,Ba # kruwo kubĩ,I killed it with an arrow,Ba # kruwo kubĩ	 I killed it with an arrow
74,Ba # kopo kubĩ,I killed it with a club,Ba # kopo kubĩ	 I killed it with a club
75,Ba # kẽno kubĩ,I killed it with a rock,Ba # kẽno kubĩ	 I killed it with a rock
76,Ba # kàxo kubĩ,I killed it with a machete,Ba # kàxo kubĩ	 I killed it with a machete
77,ga # kàxo kubĩ,you killed it with a machete,ga # kàxo kubĩ	 you killed it with a machete
78,Kôkôti # kàxo kubĩ,Kôkôti killed it with a machete,Kôkôti # kàxo kubĩ	 Kôkôti killed it with a machete
79,# # kàxo kubĩ,He killed it with a machete,# # kàxo kubĩ	 He killed it with a machete
80,gar # kàxo kubĩ,you killed it with a machete,gar # kàxo kubĩ	 you killed it with a machete
81,ga me # kàxo kubĩ,you killed it with a machete,ga me # kàxo kubĩ	 you killed it with a machete
82,me # kàxo kubĩ,they killed it with a machete,me # kàxo kubĩ	 they killed it with a machete
83,ba # kàxo kaba,I dug it with a machete,ba # kàxo kaba	 I dug it with a machete
84,ba # kàxo karê,I cleared it with a machete,ba # kàxo karê	 I cleared it with a machete
85,ba # kàxo kukà,I cut it with a machete,ba # kàxo kukà	 I cut it with a machete
86,ba amã môp kaba I dug carà for,you,ba amã môp kaba I dug carà for you
87,ba amã môp kaba I dug carà to,you,ba amã môp kaba I dug carà to you
88,ba amã jàt kaba I dug yams for,you,ba amã jàt kaba I dug yams for you
89,ba amã jàt kaba I dug yams to,you,ba amã jàt kaba I dug yams to you
90,ba amã kwỳr kaba,I dug manioc for you,ba amã kwỳr kaba		I dug manioc for you
91,ba amã kwỳr kaba,I dug manioc to you,ba amã kwỳr kaba		I dug manioc to you
92,ba amã tyrti kaba,I dug bananas for you,ba amã tyrti kaba	 I dug bananas for you
93,ba amã tyrti kaba,I dug bananas to you,ba amã tyrti kaba	 I dug bananas to you
94,ba amã krãtỳx ngre kaba I dug the turtle eggs for,you,ba amã krãtỳx ngre kaba I dug the turtle eggs for you
95,ba amã krãtỳx ngre kaba I dug the turtle eggs to,you,ba amã krãtỳx ngre kaba I dug the turtle eggs to you
96,ba amã kà kaba,I dug the animal for you,ba amã kà kaba	I dug the animal for you
97,ba amã kà kaba,I dug the animal to you,ba amã kà kaba	I dug the animal to you
98,ba amã karõ kaba,I dug the photograph for you,ba amã karõ kaba		I dug the photograph for you
99,ba amã karõ kaba,I dug the photograph to you,ba amã karõ kaba		I dug the photograph to you
100,ba amã tyrti kaba,I dug bananas for you,ba amã tyrti kaba	 I dug bananas for you
101,ba amã tyrti kaba,I dug bananas to you,ba amã tyrti kaba	 I dug bananas to you
102,Ba amĩm môp kaba,I dug cará for myself,Ba amĩm môp kaba	 I dug cará for myself
103,Ba Kôkôtimã môp kaba,I dug cará for Kôkôti,Ba Kôkôtimã môp kaba		I dug cará for Kôkôti
104,ba kum môp kaba I dug cará for,him,ba kum môp kaba I dug cará for him
105,Ba kum môp kaba I dug cará for,her,Ba kum môp kaba I dug cará for her
106,Ba me kum môp kaba,I dug cará for them,Ba me kum môp kaba	I dug cará for them
107,Ba mekmã môp kaba,I dug cará for them,Ba mekmã môp kaba	 I dug cará for them
108,Ba ar imã môp kaba,I dug cará for us,Ba ar imã môp kaba	I dug cará for us
109,Ba ar amã môp kaba,I dug cará for you,Ba ar amã môp kaba	I dug cará for you
110,Ba Kôkôtimã môp kaba,I dig cará for Kôkôti,Ba Kôkôtimã môp kaba		I dig cará for Kôkôti
111,Ba kum môp kaba,I dig cará for him,Ba kum môp kaba		I dig cará for him
112,Ba kum môp kaba,I dig cará for her,Ba kum môp kaba		I dig cará for her
113,Ba ar imã môp kaba,I dig cará for us,Ba ar imã môp kaba		I dig cará for us
114,ga Kôkôtimã môp kaba,You dig cará for Kôkôti,ga Kôkôtimã môp kaba		You dig cará for Kôkôti
115,ga kum môp kaba,You dig cará for him,ga kum môp kaba		You dig cará for him
116,ga kum môp kaba,You dig cará for her,ga kum môp kaba		You dig cará for her
117,ga ar imã môp kaba,You dig cará for us,ga ar imã môp kaba		You dig cará for us
118,me Kôkôtimã môp kaba,They dig cará for Kôkôti,me Kôkôtimã môp kaba		They dig cará for Kôkôti
119,me kum môp kaba,They dig cará for him,me kum môp kaba		They dig cará for him
120,me kum môp kaba,They dig cará for her,me kum môp kaba		They dig cará for her
121,me ar imã môp kaba,They dig cará for us,me ar imã môp kaba		They dig cará for us
122,gu me Kôkôtimã môp kaba,we dig cará for Kôkôti,gu me Kôkôtimã môp kaba		we dig cará for Kôkôti
123,ba me Kôkôtimã môp kaba,we dig cará for Kôkôti,ba me Kôkôtimã môp kaba		we dig cará for Kôkôti
124,gar Kôkôtimã môp kaba,You dig cará for Kôkôti,gar Kôkôtimã môp kaba		You dig cará for Kôkôti
125,ba Kôkôtimã môp tu,I carried cará for Kôkôti,ba Kôkôtimã môp tu		I carried cará for Kôkôti
126,ba Kôkôtimã môp ga,I cooked cará for Kôkôti,ba Kôkôtimã môp ga		I cooked cará for Kôkôti
127,ba Kôkôtimã môp kre,I planted cará for Kôkôti,ba Kôkôtimã môp kre		I planted cará for Kôkôti
128,ba Kôkôtimã môp kaba,I dig cará for Kôkôti,ba Kôkôtimã môp kaba		I dig cará for Kôkôti
129,Birbir abê anhõ mryo akĩ,Birbir stole your meat from you,Birbir abê anhõ mryo akĩ		Birbir stole your meat from you
130,Birbir abê anhõ bayo akĩ,Birbir stole your corn from you,Birbir abê anhõ bayo akĩ		Birbir stole your corn from you
131,Birbir abê anhõ karinhôo akĩ,Birbir stole your tobacco from you,Birbir abê anhõ karinhôo akĩ		Birbir stole your tobacco from you
132,Birbir abê anhõ kubẽkào akĩ,Birbir stole your clothing from you,Birbir abê anhõ kubẽkào akĩ		Birbir stole your clothing from you
133,Birbir abê anhõ katõko akĩ,Birbir stole your rifle from you,Birbir abê anhõ katõko akĩ		Birbir stole your rifle from you
134,Birbir abê anhõ angào akĩ,Birbir stole your necklace from you,Birbir abê anhõ angào akĩ		Birbir stole your necklace from you
135,Birbir ibê anhõ mryo akĩ,Birbir stole my meat from me,Birbir ibê anhõ mryo akĩ		Birbir stole my meat from me
136,Birbir kutê anhõ mryo akĩ,Birbir stole my meat from me,Birbir kutê anhõ mryo akĩ		Birbir stole my meat from me
137,Birbir Kôkôtibê anhõ mryo akĩ,Birbir stole his meat from him,Birbir Kôkôtibê anhõ mryo akĩ		Birbir stole his meat from him
138,Birbir abê anhõ mryo akĩ,Birbir stole Kôkôti's meat from him,Birbir abê anhõ mryo akĩ		Birbir stole Kôkôti's meat from him
139,Birbir abê anhõ mryo akĩ,Birbir stole your meat from you,Birbir abê anhõ mryo akĩ		Birbir stole your meat from you
140,Birbir bẽnjadjwỳrbê anhõ mryo akĩ,the chief's meat from him.,Birbir bẽnjadjwỳrbê anhõ mryo akĩ		the chief's meat from him.
141,ba abê anhõ mryo akĩ,I stole your meat from you,ba abê anhõ mryo akĩ		I stole your meat from you
142,me'õ abê anhõ mryo akĩ,someone stole your meat from you,me'õ abê anhõ mryo akĩ		someone stole your meat from you
143,me abê anhõ mryo akĩ,they stole your meat from you,me abê anhõ mryo akĩ		they stole your meat from you
144,Birbir abê anhõ mryo abdju,Birbir hid your meat from you,Birbir abê anhõ mryo abdju		Birbir hid your meat from you
145,Birbir abê anhõ mryo tẽ,Birbir took your meat from you,Birbir abê anhõ mryo tẽ		Birbir took your meat from you
146,Birbir abê anhõ mryo ajkẽn,Birbir ruined your meat from you,Birbir abê anhõ mryo ajkẽn		Birbir ruined your meat from you
147,Birbir abê anhõ mry krẽ,Birbir ate your meat from you,Birbir abê anhõ mry krẽ		Birbir ate your meat from you
148,Birbir abê anhõ mry by,Birbir took your meat in his hand from you,Birbir abê anhõ mry by		Birbir took your meat in his hand from you
149,Birbir abê anhõ katõk kwỳr,Birbir broke your rifle from you,Birbir abê anhõ katõk kwỳr		Birbir broke your rifle from you
150,Birbir abê anhõ kubẽkà kadjô,Birbir ripped your cloth/clothes from you,Birbir abê anhõ kubẽkà kadjô		Birbir ripped your cloth/clothes from you
151,Ba abê ngõr I fell asleep against,you,Ba abê ngõr I fell asleep against you
152,Ba abê ngõr I fell asleep from,you,Ba abê ngõr I fell asleep from you
153,Ba Birbirbê ngõr,I fell asleep against Birbir,Ba Birbirbê ngõr		I fell asleep against Birbir
154,Ba kubê ngõr,I fell asleep against him,Ba kubê ngõr		I fell asleep against him
155,Ba abãmbê ngõr,I fell asleep against your father,Ba abãmbê ngõr	I fell asleep against your father
156,Ba anãbê ngõr,I fell asleep against your mother,Ba anãbê ngõr	 I fell asleep against your mother
157,Ba mebê ngõr,I fell asleep against them,Ba mebê ngõr		I fell asleep against them
158,Birbir ibê ngõr Birbir fell asleep against,me,Birbir ibê ngõr Birbir fell asleep against me
159,# ibê ngõr,he fell asleep against me,# ibê ngõr	he fell asleep against me
160,ga ibê ngõr You fell asleep against,me,ga ibê ngõr You fell asleep against me
161,me ibê ngõr they fell asleep against,me,me ibê ngõr they fell asleep against me
162,Bàkam me'õ ne kangã bĩ,Someone killed the snake in the forest,Bàkam me'õ ne kangã bĩ	Someone killed the snake in the forest
163,Kikrekam me'õ ne kangã bĩ,Someone killed the snake in the house,Kikrekam me'õ ne kangã bĩ	Someone killed the snake in the house
164,Krĩbê me'õ ne kangã bĩ,Someone killed the snake in the village,Krĩbê me'õ ne kangã bĩ	Someone killed the snake in the village
165,Ngàbê me'õ ne kangã bĩ,Someone killed the snake in the men's house,Ngàbê me'õ ne kangã bĩ	Someone killed the snake in the men's house
166,Prykam me'õ ne kangã bĩ,Someone killed the snake in the trail,Prykam me'õ ne kangã bĩ	Someone killed the snake in the trail
167,Tãm ne # kanê o amykry,He was sick all day,Tãm ne # kanê o amykry	He was sick all day
168,Tãm ne # àpênh o amykry,He worked all day,Tãm ne # àpênh o amykry	He worked all day
169,Tãm ne # bixjaêr o amykry,He played all day,Tãm ne # bixjaêr o amykry	He played all day
170,Tãm ne # õt o akati He slept all,night,Tãm ne # õt o akati He slept all night
171,Tãm ne # tor o akati,He danced all night,Tãm ne # tor o akati		He danced all night
172,Tãm ne # kanê o akati,He was sick all night,Tãm ne # kanê o akati	He was sick all night
173,Birbir mũm prõt Birbir ran,far,Birbir mũm prõt Birbir ran far
174,Birbir wãj prõt Birbir ran,far,Birbir wãj prõt Birbir ran far
175,Inã ijã keket,Mother laughed at me,Inã ijã keket	 Mother laughed at me
176,Inã ajã keket,Mother laughed at you,Inã ajã keket	 Mother laughed at you
177,Inã 'ã keket,Mother laughed at him,Inã 'ã keket	 Mother laughed at him
178,Inã me'ã keket,Mother laughed at them,Inã me'ã keket	 Mother laughed at them
179,Inã bajã keket,Mother laughed at us,Inã bajã keket	 Mother laughed at us
180,Ne Birbir nõ mrõ,Birbir cooked the food,Ne Birbir nõ mrõ		Birbir cooked the food
181,Ne # nõ mrõ,she cooked the food,Ne # nõ mrõ		she cooked the food
182,Ne # nõ mrõ,he cooked the food,Ne # nõ mrõ		he cooked the food
183,Ne anã nõ mrõ,your mother cooked the food,Ne anã nõ mrõ		your mother cooked the food
184,Ne ba nõ mrõ,I cooked the food,Ne ba nõ mrõ		I cooked the food
185,Ne gar nõ mrõ,you cooked the food,Ne gar nõ mrõ		you cooked the food
186,Ne ne nõ mrõ,they cooked the food,Ne ne nõ mrõ		they cooked the food
187,Birbir nã ro'ã ne àpênh Birbir works together with her,mother,Birbir nã ro'ã ne àpênh Birbir works together with her mother
188,Birbir kanikwỳj ne àpênh,Birbir works together with her sister,Birbir kanikwỳj ne àpênh		Birbir works together with her sister
189,Birbir kra ne àpênh Birbir works together with her,child,Birbir kra ne àpênh Birbir works together with her child
190,Birbir me ne àpênh,Birbir works together with them,Birbir me ne àpênh	Birbir works together with them
191,Ba akôt tẽ,I go with you,Ba akôt tẽ	I go with you
192,Ba Kôkôtikot tẽ,I go with Kôkôti,Ba Kôkôtikot tẽ	I go with Kôkôti
193,Ba bẽnjadjwỳrkôt tẽ,I go the chief,Ba bẽnjadjwỳrkôt tẽ	I go the chief
194,Ba inãkôt tẽ,I go with my mother,Ba inãkôt tẽ	I go with my mother
195,Ba mekôt tẽ,I go with them,Ba mekôt tẽ	I go with them
196,Kôkôti ar ro'ã ngôjmã tẽ,Kôkôti went to the water with him,Kôkôti ar ro'ã ngôjmã tẽ		Kôkôti went to the water with him
197,Kôkôti ar ro'ã bàkam tẽ,Kôkôti went to the forest with him,Kôkôti ar ro'ã bàkam tẽ		Kôkôti went to the forest with him
198,Kôkôti ar ro'ã kikremã tẽ,Kôkôti went to the house with him,Kôkôti ar ro'ã kikremã tẽ		Kôkôti went to the house with him
199,Kôkôti ar ro'ã purmã tẽ,Kôkôti went to the field with him,Kôkôti ar ro'ã purmã tẽ		Kôkôti went to the field with him
200,Kôkôti ar ro'ã màtkà'ỳr tẽ,Kôkôti went to the airplane with him,Kôkôti ar ro'ã màtkà'ỳr tẽ		Kôkôti went to the airplane with him
201,Ikrãkam tokry,My head hurts,Ikrãkam tokry	 My head hurts
202,Itikkam tokry,My stomach hurts,Itikkam tokry	 My stomach hurts
203,Ikôkam tokry,My back hurts,Ikôkam tokry	 My back hurts
204,Ipar miôpmiôp,My foot itches,Ipar miôpmiôp	 My foot itches
205,Ipa miôpmiôp,My arm itches,Ipa miôpmiôp	 My arm itches
206,Arỳm ne kôk pi'ôko ajngrà,The wind scattered the papers,Arỳm ne kôk pi'ôko ajngrà	 The wind scattered the papers
207,Arỳm ne kôk kadjàto ajngrà,The wind scattered the cotton,Arỳm ne kôk kadjàto ajngrà	 The wind scattered the cotton
208,Arỳm ne kôk kubẽkào ajngrà,The wind scattered the clothes,Arỳm ne kôk kubẽkào ajngrà	 The wind scattered the clothes
209,Arỳm ne kôk pi'ôo ajngrà,The wind scattered the leaves,Arỳm ne kôk pi'ôo ajngrà	 The wind scattered the leaves
210,Djudjê ne pãnh 20,"The bow is worth cr 20,00","Djudjê ne pãnh 20	 The bow is worth cr 20,00"
211,Kruw ne pãnh 20,"The arrow is worth cr 20,00","Kruw ne pãnh 20	 The arrow is worth cr 20,00"
212,Kop ne pãnh 20,"The war club is worth cr 20,00","Kop ne pãnh 20	 The war club is worth cr 20,00"
213,Kàx ne pãnh 20,"The machete is worth cr 20,00","Kàx ne pãnh 20	 The machete is worth cr 20,00"
214,Kubẽkà ne pãnh 20,"The clothing is worth cr 20,00","Kubẽkà ne pãnh 20	 The clothing is worth cr 20,00"
215,pãnh,trade,pãnh		trade
216,Nãm # Kôkôtimã êx,He lied to Kôkôti,Nãm # Kôkôtimã êx	 He lied to Kôkôti
217,Nãm # imã êx,He lied to me,Nãm # imã êx	 He lied to me
218,Nãm # nãmã êx,He lied to his mother,Nãm # nãmã êx	 He lied to his mother
219,Nãm # bãmmã êx,He lied to his father,Nãm # bãmmã êx	 He lied to his father
220,Nãm # bẽnjadjwỳrmã êx,He lied to the chief,Nãm # bẽnjadjwỳrmã êx	 He lied to the chief
221,nãm,indeed,nãm indeed
222,Arỳm nẽ ba # mry 'ã ku'uw,I asked him for meat,Arỳm nẽ ba # mry 'ã ku'uw	 I asked him for meat
223,Arỳm nẽ ba # bày 'ã ku'uw,I asked him for corn,Arỳm nẽ ba # bày 'ã ku'uw	 I asked him for corn
224,Arỳm nẽ ba # ngô 'ã ku'uw,I asked him for water,Arỳm nẽ ba # ngô 'ã ku'uw	 I asked him for water
225,Arỳm nẽ ba # tyrti 'ã ku'uw,I asked him for bananas,Arỳm nẽ ba # tyrti 'ã ku'uw	 I asked him for bananas
226,Arỳm nẽ ba # tep 'ã ku'uw,I asked him for fish,Arỳm nẽ ba # tep 'ã ku'uw	 I asked him for fish
227,arỳm,already,arỳm		already
228,Kôkôti kute pi'ôk no'ôk pumũnh,Kôkôti knows how to read,Kôkôti kute pi'ôk no'ôk pumũnh	Kôkôti knows how to read
229,Kôkôti kute pi'ôk no'ôk pumũnh,Kôkôti knows how to write,Kôkôti kute pi'ôk no'ôk pumũnh	Kôkôti knows how to write
230,Kôkôti kute kupip ka'ur pumũnh,Kôkôti knows how to write,Kôkôti kute kupip ka'ur pumũnh	Kôkôti knows how to write
231,Kôkôti kute djudjê nhipêx pumũnh,Kôkôti knows how to make a bow,Kôkôti kute djudjê nhipêx pumũnh	Kôkôti knows how to make a bow
232,Kôkôti kute pry pumũnh,Kôkôti knows how to the path,Kôkôti kute pry pumũnh	Kôkôti knows how to the path
233,pumũnh,to see,pumũnh	to see
234,pumũnh,to know,pumũnh	to know
235,Imã jàt prãm,I want yams,Imã jàt prãm		I want yams
236,Imã motkiteru prãm,I want a mosquito ne,Imã motkiteru prãm		I want a mosquito ne
237,Imã mry prãm,I want meat,Imã mry prãm		I want meat
238,Imã tyrti prãm,I want bananas,Imã tyrti prãm		I want bananas
239,Imã jàt prãm,I want yams,Imã jàt prãm		I want yams
240,Imã bày prãm,I want corn,Imã bày prãm		I want corn
241,Imã bày gogo prãm,I want rice,Imã bày gogo prãm		I want rice
242,Kôkôti ne me ngrer ma,Kôkôti heard the singing,Kôkôti ne me ngrer ma	 Kôkôti heard the singing
243,Kôkôti ne # kabẽn ma,Kôkôti heard the talk,Kôkôti ne # kabẽn ma	 Kôkôti heard the talk
244,Kôkôti ne me karõ ma,Kôkôti heard the spirits,Kôkôti ne me karõ ma	 Kôkôti heard the spirits
245,Kôkôti ne # kubyt ma,Kôkôti heard the howler monkey,Kôkôti ne # kubyt ma	 Kôkôti heard the howler monkey
246,Kôkôti ne me àkjêr ma,Kôkôti heard the yelling,Kôkôti ne me àkjêr ma	 Kôkôti heard the yelling
247,Kẽn ne ja,This is a stone,Kẽn ne ja	 This is a stone
248,Pur ne ja,This is a field,Pur ne ja	 This is a field
249,Pry ne ja,This is a path,Pry ne ja	 This is a path
250,Tônti ne ja,This is an armadillo,Tônti ne ja	 This is an armadillo
251,Pidjỳ ne ja,This is medicine,Pidjỳ ne ja	 This is medicine
252,Tep ne ja,This is a fish,Tep ne ja	 This is a fish
253,Ba ne ba êdjào kamrêk,I made the string red,Ba ne ba êdjào kamrêk	 I made the string red
254,Ba ne ba # ipu,I filled it,Ba ne ba # ipu	 I filled it
255,Ba ne ba # kaprỳ,I emptied it,Ba ne ba # kaprỳ	 I emptied it
256,Ijajne,I'm full,Ijajne	I'm full
257,Ikangro,I'm hot,Ikangro	I'm hot
258,Ikaprĩ,I'm sad,Ikaprĩ	I'm sad
259,Ingryk,I'm angry,Ingryk	I'm angry
260,Imex,I'm well,Imex		I'm well
261,Irerek,I'm weak,Irerek	I'm weak
262,Itỳx,I'm strong,Itỳx		I'm strong
263,Ikatyk,I'm tired,Ikatyk	I'm tired
264,Ikatyk mex,I'm exhausted,Ikatyk mex	I'm exhausted
265,Idjom,I'm exhausted,Idjom	 I'm exhausted
266,Imã prãm,I'm hungry,Imã prãm		I'm hungry
267,Imã kry,I'm cold,Imã kry		I'm cold
268,Imã kôr,I'm thirsty,Imã kôr		I'm thirsty
269,Imã kĩnh,I'm happy,Imã kĩnh		I'm happy
270,Imã djukanga,I'm lazy,Imã djukanga		I'm lazy
271,Ibê Birbir,I am	Birbir,Ibê Birbir	I am	Birbir
272,Kubê Kôkôti He is,Kôkôti,Kubê Kôkôti He is Kôkôti
273,Kubê bẽnjadjwỳr He is the,chief,Kubê bẽnjadjwỳr He is the chief
274,Kubê mengrer djwỳnh He is the festival,leader,Kubê mengrer djwỳnh He is the festival leader
275,Kubê kukôj,He is the monkey,Kubê kukôj	He is the monkey
276,Purkam jàt,There are yams in the field,Purkam jàt	There are yams in the field
277,Bàkam ngiadjy,There are deer in the forest,Bàkam ngiadjy	There are deer in the forest
278,Ngôkam tep,There are fish in the water,Ngôkam tep	There are fish in the water
279,Pĩkam pidjô There is fruit in the,tree,Pĩkam pidjô There is fruit in the tree
280,Arỳm ne djwỳ kangro mõ,The food is getting hot,Arỳm ne djwỳ kangro mõ	The food is getting hot
281,Arỳm ne bày ngrà mõ The corn corn is,drying,Arỳm ne bày ngrà mõ The corn corn is drying
282,Arỳm ne # kamrêk mõ It is getting (almost),red,Arỳm ne # kamrêk mõ It is getting (almost) red
283,Arỳm ne djwỳ kangro The food is,hot,Arỳm ne djwỳ kangro The food is hot
284,Arỳm ne bày ngrà,The corn is dry,Arỳm ne bày ngrà		The corn is dry
285,Arỳm ne # kamrêk,It is red,Arỳm ne # kamrêk		It is red
286,Arỳm ne # ipu,It is full,Arỳm ne # ipu	 It is full
287,Arỳm ne # kaprỳ It is,empty,Arỳm ne # kaprỳ It is empty
288,Arỳm ne na rwyk tỳx It is raining,hard,Arỳm ne na rwyk tỳx It is raining hard
289,Arỳm ne kôk jabêr tỳx,It is very windy,Arỳm ne kôk jabêr tỳx	 It is very windy
290,Arỳm ne kàjkwa rax,It is clear,Arỳm ne kàjkwa rax	It is clear
291,Arỳm ne kàjkwa punu-re,It is cloudy,Arỳm ne kàjkwa punu-re	It is cloudy
292,Arỳm ne aringro tỳx,It is sunny,Arỳm ne aringro tỳx	It is sunny
293,Arỳm ne akati #,It is day,Arỳm ne akati #	It is day
294,Arỳm ne akamàt #,It is night,Arỳm ne akamàt #	It is night
295,Johnny djãm ga?,"Johnny, is that you?","Johnny djãm ga?	 Johnny, is that you?"
296,"Nà, ba","Yes, it's me (for a man)","Nà, ba	Yes, it's me (for a man)"
297,Mỳjrỳ ga tẽ?,Where are you going?,Mỳjrỳ ga tẽ?		Where are you going?
298,Ngô'ỳrỳne ba tẽ I'm going to the,river,Ngô'ỳrỳne ba tẽ I'm going to the river
299,Aj. 'Ỳr tẽ,Then go (for a man),Aj. 'Ỳr tẽ	Then go (for a man)
300,"Ã, ba","Yes, it's me (for a woman)","Ã, ba	 Yes, it's me (for a woman)"
301,Anũ. 'Ỳr tẽ Then go (for a,woman),Anũ. 'Ỳr tẽ Then go (for a woman)
302,nà,yes (man talking),nà	yes (man talking)
303,ã,yes (woman talking),ã	 yes (woman talking)
304,ãã,yes (woman talking),ãã	yes (woman talking)
305,aj,"yes! (informal, man talking)","aj	yes! (informal, man talking)"
306,anũ,"yes! (informal, woman talking)","anũ	yes! (informal, woman talking)"
307,mỳjrỳ,where?,mỳjrỳ	 where?
308,ngô,water,ngô water
309,ngô,river,ngô river
310,tẽ,to go,tẽ	to go
311,Ngô 'ỳrỳne ba tẽ,I'm going to the river,Ngô 'ỳrỳne ba tẽ		I'm going to the river
312,Bà 'ỳrỳne ba tẽ,I'm going to the forest,Bà 'ỳrỳne ba tẽ		I'm going to the forest
313,Krĩrax 'ỳrỳne ba tẽ,I'm going to the town,Krĩrax 'ỳrỳne ba tẽ		I'm going to the town
314,Krĩrax 'ỳrỳne ba tẽ,I'm going to the city,Krĩrax 'ỳrỳne ba tẽ		I'm going to the city
315,Ngà 'ỳrỳne ba tẽ,I'm going to the men's house,Ngà 'ỳrỳne ba tẽ		I'm going to the men's house
316,Kikre 'ỳrỳne ba tẽ,I'm going to the house,Kikre 'ỳrỳne ba tẽ		I'm going to the house
317,Jãm ne ga tẽ?,Where are you going?,Jãm ne ga tẽ?	 Where are you going?
318,Purmã ne ba tẽ,I'm going to the country,Purmã ne ba tẽ	I'm going to the country
319,Aj mã,Then go (man talking),Aj mã	 Then go (man talking)
320,Anũ mã,Then go (woman talking),Anũ mã	 Then go (woman talking)
321,Jãm?,where?,Jãm?		where?
322,Pur mã ne ba tẽ I'm going to the,country,Pur mã ne ba tẽ I'm going to the country
323,Krĩ mã ne ba tẽ I'm going to the,village,Krĩ mã ne ba tẽ I'm going to the village
324,Berẽ mã ne ba tẽ,I'm going to Belem,Berẽ mã ne ba tẽ		I'm going to Belem
